BatchNo,Time,rpm,OD,CarbonContents,Ethanol,Acetoin,BDO,Succinate,Lactate,Formate,Acetate,Feed,delta_t
example,0,550,0,103.97409,0,0.281408,0,0,4.16769,0.391125,0.224041,0,2
example,2,550,0.5,105.29211,0.0918,0.218992,0,0,3.99739,0.355037,0.57334,0,2
example,4,550,7.11,102.18985,0.1836,0.35348,0.825707,0,2.89423,0.333738,1.19123,0,2
example,6,550,12.73,89.73532,0.46784784,2.293,3.6938,0,1.80276,0.180397,1.69003,0,2
example,8,550,15.19,71.979,1.18021912,3.8206,9.51856,0,0.968719,0.135136,1.53007,0,2
example,10,550,17.15,43.70633,1.90048232,5.81131,18.54175,0.0488796,0.599337,0.0624154,0.673701,0,2
example,12,550,19.7,11.03009,2.16690832,7.34348,32.11763,0.0641505,0.501668,0.0940834,0.215458,50,2
example,14,550,23.7,31.1185,2.3348713,8.34691,45.56899,0.716341,0.332777,0.0730421,0.186383,50,2
example,16,550,22.9,52.80832,2.25140844,9.6211,55.16121,1.78643,0.285445,0.00380582,0.270434,0,2
example,18,550,38.3,24.40034,2.43547684,12.15899,62.74406,2.56465,0.307476,0.0428173,0.471294,50,2
example,20,550,36.2,50.08688,2.7493992,13.51928,68.54651,2.72903,0.342754,0.0363795,0.616618,0,2
example,22,350,36.3,29.08884,2.93084,8.84488,82.55708,4.37422,0.411207,0.041944,0.725948,0,2
example,24,350,36.6,12.4388,3.2529968,4.97171,96.68572,5.95428,0.588592,0.0870995,0.675039,50,2
example,26,350,33.8,49.6213,3.39183794,2.031,104.183,6.94652,0.743689,0.243876,0.661915,0,2
example,28,350,34.2,42.6165,3.49530034,1.82342,107.40398,6.92712,0.964869,0.512782,0.750302,0,2
example,30,350,33.5,37.08542,3.52237474,1.80207,113.59734,6.88192,1.15167,0.693038,0.786439,0,2
example,32,350,31.3,30.68192,3.61206914,1.82057,116.03432,6.49869,1.30733,0.925472,0.82952,0,2
example,34,350,32.2,25.11686,3.58460714,2.01474,120.77032,6.1725,1.532,1.04643,0.926306,0,2
example,36,350,30.9,18.96432,3.59140594,1.95281,123.34121,5.75993,1.75139,1.21438,0.976038,50,2
example,38,350,29.1,63.86876,3.64702728,1.81448,124.42324,5.21585,1.90075,1.2836,1.05663,0,2
example,40,350,28.9,58.68046,3.91640328,2.00246,126.25402,4.70942,2.09917,1.39152,1.13947,0,2
example,42,350,29.5,53.67917,3.849812,2.11469,129.5577,4.23759,2.29675,1.47834,1.19985,0,2
example,44,350,28.5,48.79029,4.1008176,2.36241,133.18626,3.80536,2.50026,1.53967,1.24363,0,2
example,46,350,29.1,43.18872,4.00475056,2.66062,131.71764,3.19257,2.69499,1.58696,1.28227,0,2
example,48,350,33.1,38.61909,4.2292896,3.15341,136.31869,2.75148,2.94235,1.64485,1.41557,0,6
example,54,350,32,25.25701,4.50892088,5.68051,138.60563,1.36232,3.48305,1.68991,1.60039,0,6
example,60,350,30.4,14.29109,4.55098732,9.87142,139.39856,0.620961,3.48813,1.7218,2.15006,0,6
example,66,350,27.5,7.47581,4.92798588,15.22784,136.2493,0.0672895,3.39639,1.74403,2.94571,0,6
example,72,350,26.8,4.20761,5.19910048,20.25592,129.30214,0,2.92216,1.70875,4.12952,0,6
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
